Automatic,Gain,Control=Checked,IR,PA,(mA)=10,Red,PA,(mA)=10,IR,LED,Range,(mA)=51,Red,LED,Range,(mA)=51,ALC,+,FDM=Checked,Sample,Rate,(Hz)=100,Pulse,Width,(usec)=400,ADC,Range,(nA)=32768,FIFO,Rolls,on,Full=Checked,FIFO,Almost,Full=17,Sample,Averaging=1,IA,Gain=5,ECG,Gain=8,Sample,Rate=200,Adaptive,Filter=Checked,Notch,Freq=50/60,Cutoff,Freq=40
2/12/2020,54:25.7,168,555,34.68756616,1,0.062500119,-5842,-1.78867435,-5383,-1.648140025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,169,533,33.31256354,21,1.312502503,-5557,-1.701414475,-5490,-1.68090075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,170,525,32.81256258,0,0,-5536,-1.6949848,-5515,-1.688555125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,171,553,34.56256592,21,1.312502503,-5865,-1.795716375,-5552,-1.6998836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,172,491,30.68755853,0,0,-5993,-1.834906775,-5603,-1.715498525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,173,555,34.68756616,2,0.125000238,-5293,-1.620584275,-5539,-1.695903325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,174,534,33.37506366,21,1.312502503,-5498,-1.68335015,-5393,-1.651201775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,175,526,32.8750627,0,0,-5896,-1.8052078,-5294,-1.62089045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,176,556,34.75006628,21,1.312502503,-5308,-1.6251769,-5239,-1.604050825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,177,494,30.87505889,0,0,-5287,-1.618747225,-5174,-1.58414945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,178,557,34.8125664,1,0.062500119,-5333,-1.632831275,-5151,-1.577107425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,179,532,33.25006342,21,1.312502503,-4885,-1.495664875,-5188,-1.5884359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,180,527,32.93756282,0,0,-3694,-1.13101045,-5261,-1.610786675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,181,555,34.68756616,19,1.187502265,-3111,-0.952510425,-5420,-1.6594685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,182,495,30.93755901,0,0,-2761,-0.845349175,-5599,-1.714273825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,183,557,34.8125664,1,0.062500119,-2136,-0.6539898,-5675,-1.737543125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,184,532,33.25006342,21,1.312502503,-3611,-1.105597925,-5701,-1.745503675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,185,527,32.93756282,0,0,-5303,-1.623646025,-5729,-1.754076575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,186,557,34.8125664,19,1.187502265,-4616,-1.4133038,-5715,-1.749790125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,187,493,30.81255877,0,0,-4699,-1.438716325,-5688,-1.7415234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,188,556,34.75006628,2,0.125000238,-5022,-1.53761085,-5717,-1.750402475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,189,526,32.8750627,20,1.250002384,-5173,-1.583843275,-5735,-1.755913625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,190,528,33.00006294,0,0,-5004,-1.5320997,-5661,-1.733256675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,191,556,34.75006628,19,1.187502265,-5357,-1.640179475,-5634,-1.72498995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.8,192,494,30.87505889,0,0,-4992,-1.5284256,-5684,-1.7402987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
